"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Congressional District 5 - Representative","Barbara Lampert","(Prefers Democratic Party)",19645,11.45,"Congressional"
"U.S. Congressional District 5 - Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",96584,56.29,"Congressional"
"U.S. Congressional District 5 - Representative","John H. Beck","(Prefers Libertarian Party)",3673,2.14,"Congressional"
"U.S. Congressional District 5 - Representative","Kurt Erickson","(Prefers Republican Party)",12155,7.08,"Congressional"
"U.S. Congressional District 5 - Representative","Mark Mays","(Prefers Democratic Party)",34251,19.96,"Congressional"
"U.S. Congressional District 5 - Representative","Randall Yearout","(Prefers Constitution Party)",5268,3.07,"Congressional"
"U.S. Congressional District 3 - Representative","Brian Baird","(Prefers Democratic Party)",83409,50.59,"Congressional"
"U.S. Congressional District 3 - Representative","Cheryl Crist","(Prefers Democratic Party)",21356,12.95,"Congressional"
"U.S. Congressional District 3 - Representative","Christine Webb","(Prefers Republican Party)",27738,16.82,"Congressional"
"U.S. Congressional District 3 - Representative","Michael Delavar","(Prefers Republican Party)",32372,19.63,"Congressional"
"U.S. Congressional District 1 - Representative","Jay Inslee","(Prefers Democratic Party)",104342,66.44,"Congressional"
"U.S. Congressional District 1 - Representative","Larry Ishmael","(Prefers G.O.P. Party)",52700,33.56,"Congressional"
"U.S. Congressional District 4 - Representative","Doc Hastings","(Prefers Republican Party)",93241,62.19,"Congressional"
"U.S. Congressional District 4 - Representative","George Fearing","(Prefers Democratic Party)",49841,33.24,"Congressional"
"U.S. Congressional District 4 - Representative","Gordon Allen Pross","(Prefers Grand Old Party)",6842,4.56,"Congressional"
"U.S. Congressional District 2 - Representative","Doug Schaffer","(Prefers Democratic Party)",8857,4.89,"Congressional"
"U.S. Congressional District 2 - Representative","Glen S. Johnson","(Prefers Democratic Party)",5590,3.09,"Congressional"
"U.S. Congressional District 2 - Representative","Rick Bart","(Prefers Republican Party)",68189,37.69,"Congressional"
"U.S. Congressional District 2 - Representative","Rick Larsen","(Prefers Democratic Party)",98304,54.33,"Congressional"
"U.S. Congressional District 6 - Representative","Doug Cloud","(Prefers Republican Party)",51300,30.33,"Congressional"
"U.S. Congressional District 6 - Representative","Gary Murrell","(Prefers Green Party)",6014,3.56,"Congressional"
"U.S. Congressional District 6 - Representative","Norm Dicks","(Prefers Democratic Party)",96862,57.26,"Congressional"
"U.S. Congressional District 6 - Representative","Paul Richmond","(Prefers Democratic Party)",14983,8.86,"Congressional"
"U.S. Congressional District 9 - Representative","Adam Smith","(Prefers Democratic Party)",81503,64.7,"Congressional"
"U.S. Congressional District 9 - Representative","James Postma","(Prefers Republican Party)",44472,35.3,"Congressional"
"U.S. Congressional District 7 - Representative","Al Schaefer","(States No Party Preference)",1216,0.94,"Congressional"
"U.S. Congressional District 7 - Representative","Donovan Rivers","(Prefers Democratic Party)",6685,5.18,"Congressional"
"U.S. Congressional District 7 - Representative","Goodspaceguy Nelson","(Prefers Democratic Party)",3199,2.48,"Congressional"
"U.S. Congressional District 7 - Representative","Jim McDermott","(Prefers Democratic Party)",95344,73.82,"Congressional"
