"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Legislative District 46 - State Representative Pos. 1","Gerry Pollet","(Prefers Democratic Party)",23984,100,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Branden Curtis","(Prefers Republican Party)",5359,17.61,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Jessyn Farrell","(Prefers Democratic Party)",25075,82.39,"Legislative"
"Legislative District 47 - State Senator","Carol Barber","(Prefers Democratic Party)",6559,33.67,"Legislative"
"Legislative District 47 - State Senator","Joe Fain","(Prefers Republican Party)",12922,66.33,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Mark Hargrove","(Prefers Republican Party)",11373,58.23,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Chris Barringer","(Prefers Democratic Party)",8157,41.77,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Pat Sullivan","(Prefers Democratic Party)",10159,52.09,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Barry Knowles","(Prefers Republican Party)",9345,47.91,"Legislative"
"Legislative District 48 - State Senator","Michelle Darnell","(Prefers Republican Party)",7697,36.39,"Legislative"
"Legislative District 48 - State Senator","Cyrus Habib","(Prefers Democratic Party)",13452,63.61,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Bill Hirt","(Prefers Republican Party)",6289,30.26,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Ross Hunter","(Prefers Democratic Party)",14496,69.74,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Tim Turner","(Prefers Libertarian Party)",5937,30.16,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Joan McBride","(Prefers Democratic Party)",13749,69.84,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Sharon Wylie","(Prefers Democratic Party)",11505,55.41,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Anson Service","(Prefers Republican Party)",7720,37.18,"Legislative"
"Legislative District 49 - State Representative Pos. 1","Scott Dalesandro","(States No Party Preference)",1537,7.4,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Lisa Ross","(Prefers Republican Party)",5540,26.76,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Jim Moeller","(Prefers Democratic Party)",11381,54.97,"Legislative"
"Legislative District 49 - State Representative Pos. 2","Carolyn Crain","(Prefers Republican Party)",3783,18.27,"Legislative"
